Compound	m/z	Retention time (min)	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10
1.36_680.6178m/z	680.6178	1.36	2837.9	2888.6	3730.9	3440.7	3557.0	5949.6	6234.3	6199.5	6534.9	6383.6
0.94_573.4882m/z	573.4882	0.94	3564.3	3603.5	3369.6	3191.8	3591.4	6628.8	6819.4	6840.5	6827.7	7349.7
4.79_797.5887m/z	797.5887	4.79	3356.0	3785.0	3454.0	3806.4	3685.9	6236.1	6632.7	6585.8	6524.6	6814.0
0.96_972.8936m/z	972.8936	0.96	4040.9	3983.2	3614.1	3935.0	3703.5	5414.0	5487.3	5697.3	5704.6	5938.6
4.52_304.2994m/z	304.2994	4.52	3787.6	3692.1	3583.3	3687.2	3760.2	3638.7	3664.2	3732.2	3807.0	3693.5
0.93_877.2227m/z	877.2227	0.93	3955.6	2592.8	3463.3	3192.8	3792.4	4745.5	3188.9	4708.3	6618.1	7252.5
1.36_342.3068m/z	342.3068	1.36	3542.2	3430.3	3719.3	3418.6	3798.9	7314.5	7117.9	7318.2	7463.8	7129.4
0.92_923.8809m/z	923.8809	0.92	3936.6	4083.9	3900.6	3795.7	3812.7	3730.4	3730.9	3935.7	3965.5	3742.4
1.42_642.5263n	665.5120	1.42	4140.4	4329.9	3859.7	4142.9	3864.6	7150.2	8450.1	8408.4	8408.0	7112.5
1.44_668.5365n	686.5705	1.44	4301.9	4344.4	3897.1	4067.7	3915.1	8160.3	8687.8	8816.1	8699.6	8591.7
0.57_576.5344m/z	576.5344	0.57	3968.1	3986.1	4424.4	4196.8	4030.8	3985.7	4070.3	4389.4	4212.0	2581.0
4.81_728.5580m/z	728.5580	4.81	3440.3	3922.9	3868.9	4166.7	4032.6	8809.3	9577.6	9522.2	9795.5	9928.9
0.93_964.9249m/z	964.9249	0.93	4126.2	4172.1	4000.0	3858.4	4036.1	3921.2	3861.7	4109.6	3956.7	3364.4
3.22_357.8861n	340.8828	3.22	3983.3	4008.4	3874.7	3852.8	4058.6	3869.4	3859.4	3950.6	3896.5	3929.2
2.22_384.3390n	367.3357	2.22	4263.7	4122.7	4080.8	3937.9	4158.7	8247.6	8001.8	8210.7	8482.1	8961.7
2.07_737.7465m/z	737.7465	2.07	4334.6	4442.9	4053.0	4007.6	4177.9	7682.7	7652.6	8522.4	7749.4	8452.5
0.94_589.5202m/z	589.5202	0.94	4363.3	4501.7	4074.6	3963.2	4199.0	7827.1	7815.9	8040.1	7783.0	8388.2
0.57_419.3504m/z	419.3504	0.57	3626.5	3611.0	3772.0	3744.4	4205.9	3894.5	3703.6	3801.5	4020.9	2550.0
3.93_788.5198m/z	788.5198	3.93	3943.7	3977.8	4062.9	4227.6	4212.2	8841.3	9318.9	9237.3	9267.1	9857.4
0.99_984.8927m/z	984.8927	0.99	4661.5	4460.0	4134.0	4435.9	4273.2	7027.5	7325.4	7652.8	7527.9	7791.9
4.81_752.5426m/z	752.5426	4.81	3659.9	4211.3	4123.4	4393.8	4299.5	9312.0	9715.6	9885.0	9949.7	10390.6
4.79_770.5807m/z	770.5807	4.79	3688.0	4228.9	3989.3	4243.5	4309.7	7839.6	8244.0	8377.0	8418.3	8836.6
4.80_822.5979m/z	822.5979	4.80	3987.6	4410.9	4169.5	4433.1	4321.0	8079.0	8225.7	8554.1	8360.5	8887.2
5.04_524.3709m/z	524.3709	5.04	1433.0	1939.2	3787.1	4899.8	4334.4	11008.0	13762.9	13989.7	14509.8	9825.1
4.95_730.5987n	731.6060	4.95	3122.6	3626.0	4002.0	4611.2	4363.1	10062.7	11343.5	11447.4	11683.6	14274.2
1.31_566.4907n	549.4874	1.31	4219.1	4325.7	3976.6	3889.6	4377.4	8389.0	8176.7	8557.2	8426.6	8897.1
4.80_828.5560m/z	828.5560	4.80	4056.5	4439.9	4272.1	4537.1	4396.1	8438.2	8859.0	8780.8	9082.4	9107.3
1.60_330.2776n	313.2743	1.60	4247.3	4386.8	4265.7	4138.5	4416.5	8377.8	8607.1	8758.8	9045.0	8414.5
1.41_645.5426m/z	645.5426	1.41	4594.8	4653.4	4175.8	4233.2	4443.0	8517.8	8693.5	9049.1	9027.4	8909.4
3.22_333.9262n	316.9229	3.22	4305.8	4157.8	4082.6	4030.9	4459.7	4123.8	4174.9	4277.9	4339.7	4311.5
0.93_877.4905m/z	877.4905	0.93	4656.0	4767.5	4141.9	3970.9	4500.5	9129.4	9439.2	9307.1	9122.9	10047.0
0.89_792.7071m/z	792.7071	0.89	4547.3	4576.5	4256.4	4140.6	4626.1	8861.0	8536.7	8675.4	8685.6	9608.3
0.85_768.7059m/z	768.7059	0.85	5225.3	4940.3	4819.4	4964.7	4745.5	9329.1	9522.5	9605.9	9667.8	10248.3
4.09_170.1296m/z	170.1296	4.09	4776.1	4793.6	4641.0	4540.4	4782.8	4481.6	4531.5	4534.1	4580.3	4628.3
0.99_931.7865m/z	931.7865	0.99	5059.3	4753.8	4810.2	5851.3	4794.4	8729.0	11044.7	9108.0	10358.4	19394.6
0.91_851.0716m/z	851.0716	0.91	4828.2	4999.0	4442.5	4624.3	4918.1	11927.2	11345.8	11939.8	11531.4	12890.2
2.07_602.5867m/z	602.5867	2.07	5306.7	5229.4	4848.5	4814.3	4956.8	9616.6	9754.7	10336.9	9990.9	10708.0
1.19_551.5019m/z	551.5019	1.19	5535.9	5929.8	5328.6	5315.2	5001.2	9065.6	11277.3	9400.0	11063.5	12209.6
4.96_184.0743m/z	184.0743	4.96	1360.4	1598.3	4757.2	5311.0	5021.8	7798.9	9082.5	9140.2	9383.0	5086.9
3.47_458.2728n	476.3070	3.47	4927.2	5074.6	4752.1	4781.9	5044.0	5017.7	5049.1	4953.3	5152.8	5156.5
4.53_111.0923m/z	111.0923	4.53	5073.7	5131.8	4907.0	4917.0	5088.9	4735.9	4668.4	4736.4	4757.0	4882.4
2.70_284.2219m/z	284.2219	2.70	5059.4	5093.0	4979.9	4929.1	5248.8	4984.7	4979.0	5173.6	5076.7	5223.1
2.06_695.6979m/z	695.6979	2.06	5680.3	5582.8	5487.7	5293.0	5345.0	9188.3	9083.8	9832.5	9303.1	9586.6
2.03_611.6047m/z	611.6047	2.03	5518.1	5923.6	5245.7	5267.4	5471.2	9714.7	9252.7	9927.3	9615.5	10477.3
2.09_644.6181m/z	644.6181	2.09	5795.5	5877.4	5505.9	5454.8	5484.8	10497.7	10777.2	11150.3	10921.0	11505.2
1.00_982.8775m/z	982.8775	1.00	5771.8	5719.2	5457.6	5531.8	5492.5	9977.3	10088.2	10673.6	10368.6	11032.0
1.58_1194.8177m/z	1194.8177	1.58	4788.3	4634.0	5671.1	5579.1	5508.6	4802.4	4840.7	4988.5	5082.3	3957.3
0.56_269.2264m/z	269.2264	0.56	5429.2	5154.8	5125.2	5173.4	5568.2	9549.0	9596.7	9500.6	9934.7	10041.0
2.02_506.4930m/z	506.4930	2.02	5856.6	5321.4	5107.2	5496.8	5697.5	11532.9	10289.1	11025.5	11185.8	12113.0
0.90_537.4879m/z	537.4879	0.90	5504.1	5634.8	5241.5	5280.0	5761.2	11097.9	11019.9	11138.8	11245.1	11723.3
4.86_818.5894m/z	818.5894	4.86	4425.1	5495.6	5504.5	5933.1	5899.0	12403.3	13309.2	13523.4	13769.8	13872.7
0.93_877.3308m/z	877.3308	0.93	6132.0	6344.3	5419.6	5145.7	5904.0	12057.0	12475.4	12394.7	12078.5	13299.7
2.05_590.5858m/z	590.5858	2.05	6658.3	6519.0	6054.4	6007.7	5965.3	12144.8	12108.1	13076.0	12272.9	13470.3
3.97_794.5668m/z	794.5668	3.97	6462.6	5838.0	6235.2	6122.1	5971.1	13495.5	13500.7	13456.4	14033.9	19373.8
3.22_251.9217n	274.9111	3.22	5755.0	5764.4	5560.7	5484.7	5989.6	5597.9	5678.6	5755.7	5654.9	5731.0
4.81_830.5680m/z	830.5680	4.81	5315.0	5964.8	5565.0	5983.0	6008.1	11082.6	11547.7	11734.4	11703.4	12358.8
2.08_706.6817m/z	706.6817	2.08	6021.9	6379.1	5596.6	5871.4	6078.6	8990.5	9317.3	9749.3	9444.9	9879.1
4.42_603.5341m/z	603.5341	4.42	6512.0	6294.3	6251.5	6383.0	6172.3	15348.0	15759.4	15949.9	16055.9	15480.8
3.95_740.5233m/z	740.5233	3.95	5891.8	6066.9	6039.6	6478.3	6365.9	13372.0	14147.9	14305.9	14264.2	14274.2
3.94_812.5181m/z	812.5181	3.94	6152.2	6231.0	6272.3	6549.5	6453.2	12970.9	13395.3	13441.8	13461.8	15126.8
0.92_879.1048m/z	879.1048	0.92	6722.2	6671.4	5937.8	5873.5	6455.8	13843.0	13504.8	13780.2	13311.1	15179.0
1.02_950.8227m/z	950.8227	1.02	7024.4	6809.9	6385.6	6781.5	6717.3	13704.8	13158.0	13790.8	13523.7	15305.2
0.94_844.7383m/z	844.7383	0.94	6943.1	6948.2	6284.4	6345.8	6780.9	11953.5	12174.8	12431.9	12203.6	13317.1
1.11_918.8085m/z	918.8085	1.11	6969.9	6957.0	6552.1	6656.5	6819.2	14824.8	14325.9	15176.3	15295.2	15531.1
2.88_326.1945n	327.2018	2.88	6851.9	6713.3	6419.0	6551.8	6913.3	6641.3	6618.7	6669.7	6896.9	6752.5
2.24_313.3216m/z	313.3216	2.24	6592.8	6610.0	6336.1	6209.3	6933.4	6613.3	6761.2	6660.1	6753.0	6528.2
1.39_616.5088n	617.5144	1.39	6529.6	6593.0	6915.3	7233.9	7120.7	14187.2	15436.9	14361.8	15374.2	12887.5
1.14_908.7493m/z	908.7493	1.14	7567.6	7649.3	7229.9	7013.6	7152.8	17557.9	17089.0	18028.6	18221.4	19102.1
0.91_818.7201m/z	818.7201	0.91	7926.6	8031.3	6803.2	6981.6	7157.2	13153.7	12956.6	13407.2	13185.4	14642.3
3.29_414.2470n	432.2809	3.29	7098.4	7042.7	6747.9	6559.6	7160.5	6738.6	7104.2	6738.1	7024.7	7005.7
2.08_650.6411m/z	650.6411	2.08	7515.8	7814.7	7082.3	7079.4	7243.6	13437.5	13230.0	14707.9	13598.2	14829.1
0.55_149.0238m/z	149.0238	0.55	4862.9	12827.1	5481.8	6477.3	7246.3	6322.4	5828.2	7472.1	5557.4	3641.7
4.42_629.5465m/z	629.5465	4.42	7782.3	7565.1	7447.3	7509.8	7248.1	18726.0	18927.0	19537.6	19323.4	18501.3
1.37_618.5221n	636.5559	1.37	6695.1	6380.3	6950.5	7046.3	7382.0	14586.7	13857.6	14190.1	14540.3	13495.3
1.11_946.8397m/z	946.8397	1.11	7609.2	7769.1	7178.7	7405.0	7484.4	15022.1	14539.9	15258.8	15403.0	15713.6
4.81_804.5566m/z	804.5566	4.81	6347.3	7538.0	6867.3	7558.9	7517.1	14074.3	14888.3	15224.2	15199.0	16399.8
0.86_803.6525m/z	803.6525	0.86	1789.3	1712.5	7711.3	7761.0	7730.7	7943.1	8388.5	8085.4	8620.7	3136.5
3.09_370.2210n	371.2283	3.09	7835.8	7882.7	7636.8	7674.9	8058.0	7678.5	7690.1	7694.1	8029.7	7931.8
1.41_690.6016m/z	690.6016	1.41	8080.0	8390.0	7876.8	8399.9	8586.6	15680.4	15624.8	16954.7	16490.8	15731.3
0.90_563.5023m/z	563.5023	0.90	8367.5	8425.3	8023.9	8104.7	8590.0	16262.0	16100.6	16396.4	16124.8	17173.9
0.96_870.7533m/z	870.7533	0.96	8805.7	8771.9	8169.7	8489.5	8727.4	16285.6	16186.2	16503.9	16894.2	18615.4
1.09_948.8561m/z	948.8561	1.09	8936.7	8943.1	8437.8	8504.5	8772.0	18485.0	17354.5	18280.1	18186.3	18742.0
1.07_405.2450m/z	405.2450	1.07	13568.0	5042.8	18450.1	6588.6	8862.0	6326.4	15432.4	4227.0	11036.4	55292.8
2.08_616.6016m/z	616.6016	2.08	9082.3	9206.8	8394.2	8530.5	8871.7	17155.0	17151.4	18143.2	18046.0	19015.0
1.36_337.2735m/z	337.2735	1.36	7923.1	7436.8	9391.0	8477.1	8903.1	17199.0	17559.7	18255.0	17910.5	16481.8
4.92_801.6832m/z	801.6832	4.92	6928.9	8054.6	8491.2	9265.0	8904.4	20003.0	21937.8	22030.7	22319.5	22058.5
4.42_627.5341m/z	627.5341	4.42	9586.5	9507.3	9336.0	9405.1	9000.9	22363.2	22565.3	22996.3	22965.3	22351.5
1.14_862.6839n	863.6912	1.14	9624.1	9354.1	9136.4	9381.3	9348.8	19194.4	18863.0	18908.2	19419.2	20241.1
2.04_548.5378m/z	548.5378	2.04	10084.2	10250.5	9645.6	9254.7	9430.2	18273.4	18462.1	19751.2	19115.0	21031.5
1.02_957.7980n	922.7842	1.02	9864.3	9523.5	9032.9	9462.9	9729.9	18439.0	17817.8	18616.1	18710.9	22485.3
2.06_693.6377n	658.6238	2.06	10398.8	10523.3	10009.1	10005.9	9831.7	17396.0	17663.8	18635.2	18090.4	18725.0
4.79_824.5960m/z	824.5960	4.79	9032.8	10081.8	9574.9	9904.6	9887.9	17468.7	18017.0	18228.3	18442.0	19175.0
0.94_877.0973m/z	877.0973	0.94	10581.4	10803.7	9289.2	8995.6	10260.1	22049.4	22716.2	22142.3	21918.1	24796.3
0.57_530.4677n	548.5016	0.57	10273.6	9868.9	9813.0	9812.8	10300.5	10028.7	9677.1	10175.1	10056.1	7125.8
3.64_520.3354m/z	520.3354	3.64	10384.0	10332.4	9859.9	10018.4	10348.4	10112.1	10658.3	10416.5	10549.0	10221.1
2.06_709.7131m/z	709.7131	2.06	10931.4	10900.1	10450.6	10137.6	10775.1	18207.1	18424.3	19978.9	18734.0	19880.0
3.99_790.5367m/z	790.5367	3.99	9722.7	11423.7	9982.3	11506.5	11010.3	24376.3	27319.1	28146.3	27400.5	13622.3
3.94_716.5250m/z	716.5250	3.94	10381.3	10625.4	10596.3	11369.0	11055.0	23342.6	24592.6	24777.2	24759.7	24953.8
1.39_664.5867m/z	664.5867	1.39	10781.9	11088.2	10097.1	10636.4	11127.7	20795.3	20445.7	21804.0	21370.7	21615.9
0.63_671.5727m/z	671.5727	0.63	9579.7	9483.8	10549.7	10679.2	11208.8	19979.9	19880.6	20357.7	20157.2	18463.3
2.08_660.6626m/z	660.6626	2.08	11907.4	12158.4	10989.0	11018.8	11318.7	22020.5	22057.0	23130.9	23263.0	24140.6
1.09_920.8252m/z	920.8252	1.09	11568.6	11436.9	10606.7	10641.2	11395.8	24473.4	22553.0	23752.3	23886.5	23891.0
0.88_808.7378m/z	808.7378	0.88	11220.5	11144.5	10288.3	10207.4	11416.9	21564.0	21346.2	21615.8	21859.3	23367.1
1.39_644.5363n	662.5702	1.39	11797.0	12278.1	11440.1	11737.9	11478.2	22174.5	22175.1	23493.0	22857.7	22828.6
4.80_756.5546m/z	756.5546	4.80	9868.4	11367.2	11117.9	11834.4	11518.7	23170.0	24434.9	24957.6	25044.9	25947.3
0.92_895.8496m/z	895.8496	0.92	11909.6	12399.1	11336.0	10600.4	11570.8	14769.2	13747.3	15420.3	14206.1	9901.0
1.33_313.2737m/z	313.2737	1.33	11648.5	11700.5	10849.9	10838.9	11831.0	22483.5	21635.3	22187.8	22168.2	22954.1
3.93_700.5274m/z	700.5274	3.93	11193.5	11684.2	11472.9	12279.9	11983.2	25081.6	26259.8	26268.9	26527.3	26429.7
4.81_858.5959m/z	858.5959	4.81	11364.5	12489.4	11854.2	12576.9	12477.0	23400.2	24484.3	24736.1	24940.3	25460.1
4.80_766.5700m/z	766.5700	4.80	11220.9	12736.5	11976.3	12849.0	12691.2	26662.0	28013.4	28127.1	28780.0	29680.5
4.79_732.5549m/z	732.5549	4.79	10826.6	12609.4	12360.2	13118.7	12911.1	24423.6	25727.6	26165.1	26324.4	26762.0
4.83_802.5609m/z	802.5609	4.83	11199.8	12743.6	12550.8	13255.9	12961.3	26115.7	27738.7	27907.6	28317.8	28925.4
3.95_741.5298n	742.5375	3.95	12465.0	12666.6	12578.1	13323.6	13074.4	27661.1	29271.8	29602.6	29342.9	29634.6
0.40_647.4586m/z	647.4586	0.40	7488.8	7865.1	8787.0	11665.8	13200.3	9570.9	12461.9	13096.2	12773.2	9176.2
4.94_813.6821m/z	813.6821	4.94	10970.4	12654.2	12780.6	14274.6	13340.1	29788.9	31974.9	32492.9	32679.8	30331.2
0.98_968.8085n	986.9090	0.98	14623.9	13654.8	13012.7	15228.0	13357.2	22673.3	24843.0	23466.4	25987.9	61330.6
4.81_800.5896m/z	800.5896	4.81	12244.3	13497.1	13389.6	14108.0	13670.3	28471.2	29703.1	29899.9	30599.7	30674.6
0.99_938.8177m/z	938.8177	0.99	14948.8	14413.2	13556.6	14257.5	13773.7	21971.4	22545.4	23008.3	23184.0	25034.9
4.79_860.6120m/z	860.6120	4.79	12222.9	13690.3	13023.6	14114.4	13991.1	25780.3	26760.6	27153.1	27627.2	27510.3
2.03_281.2725n	264.2692	2.03	13958.9	14350.5	14409.9	12352.1	14103.5	22432.1	23144.7	22721.5	21864.5	24794.7
4.79_734.5683m/z	734.5683	4.79	11743.0	13816.3	13698.1	14514.3	14290.3	27630.2	29121.8	29753.8	29915.3	30100.0
1.89_400.3340n	401.3413	1.89	16073.6	16199.5	14777.5	14975.7	14410.4	31604.4	29727.5	32735.3	29672.3	33994.0
4.26_170.1296m/z	170.1296	4.26	14817.9	14689.0	13800.2	14177.2	14463.4	13638.0	13596.6	13767.8	13726.0	13731.4
1.39_646.5520n	647.5592	1.39	15721.8	16282.9	14380.9	15080.3	14632.7	29064.3	29525.9	30490.7	30040.8	30035.0
4.80_742.5706m/z	742.5706	4.80	12877.1	14788.3	14359.5	15401.4	14751.8	30073.1	31843.9	32258.1	32622.8	33660.6
1.34_592.5060n	575.5027	1.34	13717.3	13546.3	13521.7	13265.6	14881.7	29157.3	27166.8	28859.0	27970.0	27583.5
3.94_826.6068m/z	826.6068	3.94	13226.3	13943.6	14651.0	16072.9	15008.8	43713.7	46113.3	45773.5	46825.1	48352.0
0.85_708.5115m/z	708.5115	0.85	12390.2	14586.1	14679.7	14045.4	15121.3	13508.3	14148.2	17376.6	14091.0	11007.7
0.96_601.5190m/z	601.5190	0.96	15248.3	15533.7	14219.4	13627.9	15168.4	28393.9	28177.6	29098.1	28751.2	19101.7
0.91_564.4755n	565.5191	0.91	15288.7	15558.8	14308.2	14307.4	15424.2	29790.6	29394.4	30207.0	29755.3	31918.3
2.08_721.7176m/z	721.7176	2.08	16319.6	16889.6	15493.0	15760.5	16515.7	28574.1	28964.5	31620.4	29509.9	32076.5
1.22_594.5216n	577.5183	1.22	15873.0	16368.0	15518.4	16477.0	16908.8	33448.4	35312.1	32982.1	34853.8	38184.8
3.95_796.5819m/z	796.5819	3.95	16684.9	17179.6	16513.9	17470.0	17078.5	36959.4	38941.2	39099.4	38973.0	40049.7
4.79_184.0744m/z	184.0744	4.79	13078.6	15025.2	17058.6	18039.3	17465.7	39842.3	43033.5	43176.4	42998.4	41604.5
3.93_603.5346m/z	603.5346	3.93	16712.9	17332.5	16978.4	18059.7	17853.3	38123.7	40730.3	40977.1	40919.3	39634.5
0.93_591.5351m/z	591.5351	0.93	18727.2	19028.7	17125.8	17116.2	18310.3	34217.1	34015.1	34706.2	34293.2	37147.0
3.22_128.9546m/z	128.9546	3.22	19755.0	19665.7	18839.8	18814.8	20304.6	19049.4	19225.4	19508.8	19599.7	19863.5
1.36_666.6027m/z	666.6027	1.36	18122.3	17448.0	21799.0	19584.7	20408.5	32364.9	33272.6	33844.3	35398.4	36648.8
0.93_936.8924m/z	936.8924	0.93	21699.1	21842.2	21008.5	20582.5	20778.6	20323.9	21498.9	22782.8	21872.5	21776.6
0.85_663.4536m/z	663.4536	0.85	15755.8	18460.7	18096.2	17678.2	21029.2	18080.6	17133.7	21491.0	17617.9	13497.8
3.94_627.5339m/z	627.5339	3.94	20418.5	21008.2	20310.1	21833.2	21275.5	44563.1	46387.0	46568.4	46905.6	47958.3
0.92_580.5377m/z	580.5377	0.92	23452.2	23644.1	21701.2	21728.4	23148.1	44438.8	44590.0	45626.2	44205.9	48096.3
0.99_952.8318m/z	952.8318	0.99	25898.3	25413.0	23672.0	24608.6	24320.5	43756.4	44474.7	46264.3	45966.7	48557.0
1.36_321.2557n	339.2895	1.36	22830.4	22885.9	23799.3	22561.5	24329.9	48066.2	47044.2	48489.2	48045.4	47773.3
3.98_764.5249m/z	764.5249	3.98	23379.1	24110.8	23754.0	25201.3	24613.0	54203.5	56660.3	57181.8	57423.3	56027.1
2.07_646.6482m/z	646.6482	2.07	26298.2	26626.2	24167.8	24531.0	25557.4	49350.3	49308.6	52572.1	51869.4	55176.0
